sidebar|accordion_panel|component|gate_flag|pipeline-static|pipeline-exploration-simple|pipeline-exploration-advanced|project-independent|developer|code_status|phase25_action|notes
LEFT|Accordion|Filters — Add Row button|interactivity_enabled|HIDE|SHOW(EXP)|SHOW|SHOW|SHOW|NOT_GATED|GATE|Hidden for pipeline-static. Visible for all personas where interactivity_enabled=true.
LEFT|Accordion|Filters — Apply / Audit button (single button — label changes per tier)|interactivity_enabled|HIDE|SHOW(EXP)|SHOW|SHOW|SHOW|NOT_GATED|GATE + DOCUMENT|Gate on interactivity_enabled. Label already correct in code: T1/T2 → 'Apply (N)' (transient view update — passive exploration, no audit trail). T3 → '➜ Audit (N)' (opens propagation modal for T3 audit pipeline). No logic change — add gate only. Document passive_exploration vs t3_audit distinction in persona matrix.
LEFT|Accordion|Filters — Reset button|interactivity_enabled|HIDE|SHOW(EXP)|SHOW|SHOW|SHOW|NOT_GATED|GATE|Hidden for pipeline-static. Visible whenever interactivity_enabled=true.
LEFT|Accordion|Filters — Remove row button|interactivity_enabled|HIDE|SHOW(EXP)|SHOW|SHOW|SHOW|IMPLEMENTED|RENAME_UI + GATE|Replace ✕ with 🗑 trash icon (visual consistency with right-sidebar audit node delete). Gate visibility same as filter form.
LEFT|Accordion|Global Project Export — bundle name field|export_bundle_enabled|SHOW|SHOW|SHOW|SHOW|SHOW|NOT_GATED|GATE + RENAME_UI|Promote to its own named accordion panel 'Global Project Export' — visible and active for ALL personas (export_bundle_enabled=true for all). Gate on bootloader.is_enabled('export_bundle_enabled'). Rename placeholder to 'Bundle name (no spaces, no special chars)'. Add hover tooltip: 'Used in the exported filename. Letters, numbers, hyphens and underscores only.'
LEFT|Accordion|Global Project Export — export quality selector|export_bundle_enabled|SHOW|SHOW|SHOW|SHOW|SHOW|NOT_GATED|RENAME_UI|Keep Web/Publication presets. Add ℹ hover: '300 DPI — web/presentations. ≥600 DPI — journal figures.' Ensure ≥10px spacing above this element.
LEFT|Accordion|Global Project Export — plot format selector (NEW)|export_bundle_enabled|SHOW|SHOW|SHOW|SHOW|SHOW|MISSING|BUILD_NEW|New selector: PNG (default) / SVG / PDF. Visible all personas. PNG is default.
LEFT|Accordion|Global Project Export — audit report format selector (NEW)|export_bundle_enabled|HIDE|HIDE|SHOW|SHOW|SHOW|PARTIAL|RESTRUCTURE + BUILD_NEW|Consolidate current separate HTML + Pandoc buttons into: (1) format selector HTML / PDF / DOCX, (2) single 'Export Audit Report' button. Only visible for personas with t3_audit capability (advanced+). Render server-side via Quarto (bundle with Docker — Quarto handles HTML + PDF + DOCX natively, no separate Pandoc required). Show format as unavailable with tooltip if Quarto render fails.
LEFT|Accordion|Global Project Export — export bundle download button|export_bundle_enabled|SHOW|SHOW|SHOW|SHOW|SHOW|NOT_GATED|GATE|Gate on bootloader.is_enabled('export_bundle_enabled'). Download location follows connector/persona configured output path where available.
LEFT|Accordion|Session Management — session import (.zip)|session_management_enabled|HIDE|SHOW|SHOW|SHOW|SHOW|HARDCODED_WRONG|FIX_BUG (PERSONA-1)|Own accordion panel 'Session Management'. Fix PERSONA-1: replace hardcoded advanced_personas set with bootloader.is_enabled('session_management_enabled'). pipeline-exploration-simple has session_management_enabled=true in template — should be visible after fix. Session zip must include manifest_sha256 + data_batch_hash for integrity check on restore.
LEFT|Accordion|Session Management — session export (.zip)|session_management_enabled|HIDE|SHOW|SHOW|SHOW|SHOW|MISSING|BUILD_NEW|Add download button: 'Export Session (.zip)'. Must bundle state + manifest_sha256 + data_batch_hash. Active only when a session is loaded. Gate same as import.
LEFT|Accordion|Single Graph Export|export_graph_enabled|HIDE|HIDE|SHOW|SHOW|SHOW|MISSING|BUILD_NEW|Own accordion panel 'Single Graph Export'. Gate on bootloader.is_enabled('export_graph_enabled'). Export must follow reproducibility rules: plot file + associated data slice + relevant manifest section + any user T3 modifications applied to that plot. (Was previously deferred Phase 22 — now in scope for Phase 25.)
RIGHT|Layout|Right sidebar — conditional layout rendering|t3_audit capability (persona config)|EXCLUDED|EXCLUDED|SHOW|SHOW|SHOW|BUG (space wasted)|LAYOUT_FIX (Option A)|Current bug: right sidebar container (340px) always in DOM — returning ui.div() leaves empty column, center does NOT expand. Fix: in ui.py, read SPARMVET_PERSONA env var at UI build time and conditionally omit ui.sidebar(right) from the layout entirely when persona is in pipeline-static or pipeline-exploration-simple. One-line change in ui.py — no handler changes needed. Center column then fills full width for pipeline personas.
RIGHT|Right Sidebar|Full audit stack (T3 recipe + gatekeeper)|t3_audit capability|HIDE|HIDE|SHOW|SHOW|SHOW|IMPLEMENTED|DOCUMENT|Visibility rule: shown when persona has t3_audit capability. Document as named capability column in persona matrix. After LAYOUT_FIX above, hidden = truly excluded from layout (not just empty).
RIGHT|Right Sidebar|Active plot header 'My Adjustments — plot_id'|always_on|HIDE|HIDE|SHOW|SHOW|SHOW|IMPLEMENTED|VISUAL_FIX|Make bold + amber/yellow background (#fffde7). Add 4-6px bottom margin before first node. Visual only — no logic change.
RIGHT|Right Sidebar|Comparison mode toggle|comparison_mode_enabled|HIDE|HIDE|SHOW|SHOW|SHOW|NOT_CHECKED|FIX_BUG (AUDIT-4) + GATE|Fix AUDIT-4: comparison toggle resets on plot switch (reactive scoping bug). Gate on bootloader.is_enabled('comparison_mode_enabled') instead of hardcoded persona name check. Toggle only shown when t3_audit active.
